#NCONSTPROPERTY       0
#NPARAMETER           2
#NENTRIES             16
#PhotonEnergy[eV]    REFLECTIVITY
2.256                0.97
2.341                0.968
2.433                0.966
2.532                0.964
2.585                0.962
2.697                0.960
2.820                0.958
2.885                0.955
2.954                0.950
3.026                0.930
3.102                0.900
3.223                0.800
3.309                0.700
3.353                0.600
3.446                0.300
3.545                0.000
