#NCONSTPROPERTY       6
SCINTILLATIONYIELD   10.  /keV
FASTTIMECONSTANT     1.3  ns
SLOWTIMECONSTANT     1.   ms
YIELDRATIO           1.0  none
RESOLUTIONSCALE      1.0  none
BIRKS                0.0  um/keV
#NPARAMETER          5
#NENTRIES            23
#PhotonEnergy[eV]      RINDEX     ABSLENGTH      FASTCOMPONENT        SLOWCOMPONENT
2.256                 1.5288     300.                0.001                   0.
2.298                 1.5288     300.                0.001                   0.
2.341                 1.5288     300.                0.001                   0.
2.386                 1.5288     300.                0.025                   0.
2.433                 1.5288     300.                0.050                   0.
2.481                 1.5288     300.                0.070                   0.
2.532                 1.5288     300.                0.080                   0.
2.585                 1.5288     300.                0.100                   0.
2.640                 1.5288     300.                0.150                   0.
2.697                 1.5288     300.                0.250                   0.
2.757                 1.5288     300.                0.330                   0.
2.820                 1.5288     300.                0.350                   0.
2.885                 1.5288     300.                0.650                   0.
2.954                 1.5288     300.                0.700                   0.
2.990                 1.5288     300.                0.710                   0.
3.026                 1.5288     300.                0.800                   0.
3.102                 1.5288     300.                1.000                   0.
3.181                 1.5288     300.                0.700                   0.
3.265                 1.5288     300.                0.540                   0.
3.353                 1.5288     300.                0.550                   0.
3.446                 1.5288     300.                0.340                   0.
3.545                 1.5288     300.                0.150                   0.
3.649                 1.5288     300.                0.001                   0.
