NENTRIES             32
#PhotonEnergy[eV]    RINDEX    ABSLENGTH
2.034               1.3435    344.8
2.068               1.344     408.2
2.103               1.3445    632.9
2.139               1.345     917.4
2.177               1.3455   1234.6
2.216               1.346    1388.9
2.256               1.3465   1515.2
2.298               1.347    1724.1 
2.341               1.3475   1886.8 
2.386               1.348    2000.0
2.433               1.3485   2631.6
2.481               1.3492   3571.4
2.532               1.35     4545.5
2.585               1.3505   4761.9
2.640               1.351    5263.2
2.697               1.3518   5263.2
2.757               1.3522   5555.6
2.820               1.3530   5263.2
2.885               1.3535   5263.2
2.954               1.354    4761.9 
3.026               1.3545   4545.5
3.102               1.355    4166.7
3.181               1.3555   3703.7
3.265               1.356    3333.3
3.353               1.3568   3000.0
3.446               1.3572   2850.0
3.545               1.358    2700.0
3.649               1.3585   2450.0
3.760               1.359    2200.0
3.877               1.3595   1950.0
4.002               1.36     1750.0
4.136               1.3608   1450.0
